M1;5h34.5m;+22°01';TAURUS;Supernova Remnant;8;6'x 4';Crab Nebula
M2;21h33.5m;-0°49';AQUARIUS;Globular Cluster;6.5;13';
M3;13h42.2m;+28°23';CANES VENATICI;Globular Cluster;6.2;16';
M4;16h23.6m;-26°32';SCORPIUS;Globular Cluster;5.9;26';Cat's Eye
M5;15h18.6m;+2°05';SERPENS;Globular Cluster;5.7;17';
M6;17h40.1m;-32°13';SCORPIUS;Open Cluster;4.2;15';Butterfly Cluster
M7;17h53.9m;-34°49';SCORPIUS;Open Cluster;3.3;80';
M8;18h03.8m;-24°23';SAGITTARIUS;Nebula;6;90'x40';Lagoon Nebula
M9;17h19.2m;-18°31';OPHIUCHUS;Globular Cluster;7.7;9';
M10;16h57.1m;-4°06';OPHIUCHUS;Globular Cluster;6.6;15';
M11;18h51.1m;-6°16';SCUTUM;Open Cluster;5.8;14';Wild Duck Cluster
M12;16h47.2m;-1°57';OPHIUCHUS;Globular Cluster;6.7;15';
M13;16h41.7m;+36°28';HERCULES;Globular Cluster;5.8;17';Great HERCULES Cluster
M14;17h37.6m;-3°15';OPHIUCHUS;Globular Cluster;7.6;12';
M15;21h30.0m;+12°10';PEGASUS;Globular Cluster;6.2;12';Great PEGASUS Cluster
M16;18h18.8m;-13°47';SERPENS;Nebula/Open Cluster;6;35'x7';Eagle Nebula
M17;18h20.8m;-16°11';SAGITTARIUS;Nebula/Open Cluster;7;46'x37';Omega Nebula
M18;18h19.9m;-17°08';SAGITTARIUS;Open Cluster;6.9;9';Black Swan
M19;17h02.6m;-26°16';OPHIUCHUS;Globular Cluster;6.8;14';
M20;18h02.6m;-23°02';SAGITTARIUS;Nebula/Open Cluster;8;28'x28'x28';Trifid Nebula
M21;18h04.6m;-22°30';SAGITTARIUS;Open Cluster;5.9;13';
M22;18h36.4m;-23°54';SAGITTARIUS;Globular Cluster;5.1;24';Great Sagittarius Cluster
M23;17h56.8m;-19°01';SAGITTARIUS;Open Cluster;5.5;27';
M24;18h16.9m;-18°29';SAGITTARIUS;Thick Milky Way Patch;4;90'x60';
M25;18h31.6m;-19°15';SAGITTARIUS;Open Cluster;4.6;32';
M26;18h45.2m;-9°24';SCUTUM;Open Cluster;8;15';
M27;19h59.6m;+22°43';Vul;Planetary Nebula;8;8'x4';Dumbell Nebula
M28;18h24.5m;-24°52';SAGITTARIUS;Globular Cluster;6.8;11';
M29;20h23.9m;+38°32';CYGNUS;Open Cluster;6.6;7';
M30;21h40.4m;-23°11';Cap;Globular Cluster;7.2;11';
M31;0h42.7m;+41°16';ANDROMEDA;Spiral Galaxy;3.5;178'x63';ANDROMEDA Galaxy
M32;0h42.7m;+40°52';ANDROMEDA;Elliptical Galaxy;8.2;8'x6';
M33;1h33.9m;+30°39';Tri;Spiral Galaxy;5.7;62'x39';Pinwheel Galaxy
M34;2h42.0m;+42°47';PERSEUS;Open Cluster;5.2;35';
M35;6h08.9m;+24°20';Gem;Open Cluster;5.1;28';
M36;5h36.1m;+34°08';AURIGA;Open CluSERPENS ;6;12';
M37;5h52.4m;+32°33';AURIGA;Open Cluster;5.6;24';
M38;5h28.7m;+35°50';AURIGA;Open Cluster;6.4;21';
M39;21h32.2m;+48°26';CYGNUS;Open Cluster;4.6;32';
M40;12h22.4m;+58°05';URSA MAJOR;Double Star;9.6;1';
M41;6h46.0m;-20°44';CANIS MAJOR;Open Cluster;4.5;38';Little Beehive
M42;5h35.4m;-5°27';ORION;Nebula;4;66'x60';Great ORION Nebula
M43;5h35.6m;-5°16';ORION;Nebula;9;20'x15';
M44;8h40.1m;+19°59';CANCER;Open Cluster;3.1;95';Praesepe
M45;3h47.0m;+24°07';TAURUS;Open Cluster;1.2;110';Pleiades
M46;7h41.8m;-14°49';PUPPIS;Open Cluster;6.1;27';
M47;7h36.6m;-14°30';PUPPIS;Open Cluster;4.4;30';
M48;8h13.8m;-5°48';HYDRA;Open Cluster;5.8;54';
M49;12h29.8m;+8°00';VIRGO;Elliptical Galaxy;8.4;9'x7';
M50;7h02.8m;-8°23';MONOCEROS;Open Cluster;5.9;16';
M51;13h29.9m;+47°12';CANES VENATICI;Spiral Galaxy;8.1;11'x8';Whirlpool Galaxy
M52;23h24.2m;+61°35';CASSIOPEIA;Open Cluster;6.9;13';The Scorpion
M53;13h12.9m;+18°10';COMA BERENICES;Globular Cluster;7.6;13';
M54;18h55.1m;-30°29';SAGITTARIUS;Globular Cluster;7.6;9';
M55;19h40.0m;-30°58';SAGITTARIUS;Globular Cluster;7;19';The Spectre
M56;19h16.6m;+30°11';LYRA;Globular Cluster;8.3;7';
M57;18h53.6m;+33°02';LYRA;Planetary Nebula;9;1.3';Ring Nebula
M58;12h37.7m;+11°49';VIRGO;Spiral Galaxy;9.8;5'x4';
M59;12h42.0m;+11°39';VIRGO;Elliptical Galaxy;9.8;5'x3';
M60;12h43.7m;+11°33';VIRGO;Elliptical Galaxy;8.8;7'x6';
M61;12h21.9m;+4°28';VIRGO;Spiral Galaxy;9.7;6'x5';Swelling Spiral
M62;17h01.2m;-30°07';OPHIUCHUS;Globular Cluster;6.5;14';Flickering Globular
M63;13h15.8m;+42°02';CANES VENATICI;Spiral Galaxy;8.6;12'x8';Sunflower Galaxy
M64;12h56.7m;+21°41';COMA BERENICES;Spiral Galaxy;8.5;9'x5';Black Eye Galaxy
M65;11h18.9m;+13°05';LEO;Spiral Galaxy;9.3;10'x3';
M66;11h20.2m;+12°59';LEO;Spiral Galaxy;9;9'x4';
M67;8h51.4m;+11°49';CANCER;Open Cluster;6.9;30';King Cobra
M68;12h39.5m;-26°45';HYDRA;Globular Cluster;8.2;12';
M69;18h31.4m;-32°21';SAGITTARIUS;Globular Cluster;7.6;7';
M70;18h43.2m;-32°18';SAGITTARIUS;Globular Cluster;8.1;8';
M71;19h53.8m;+18°47';SAGITTA;Globular Cluster;8.2;7';
M72;20h53.5m;-12°32';AQUARIUS;Globular Cluster;9.3;6';
M73;20h58.9m;-12°38';AQUARIUS;4-Star Asterism;10.5;1';
M74;1h36.7m;+15°47';Psc;Spiral Galaxy;9.2;10'x9';The Phantom
M75;20h06.1m;-21°55';SAGITTARIUS;Globular Cluster;8.5;6';
M76;1h42.4m;+51°34';PERSEUS;Planetary Nebula;11;2'x1';Little Dumbbell
M77;2h42.7m;-0°01';CETUS;Spiral Galaxy;8.8;7'x6';
M78;5h46.7m;+0°03';ORION;Nebula;8;8'x6';
M79;5h24.5m;-24°33';LEPUS;Globular Cluster;7.7;9';
M80;16h17.0m;-22°59';SCORPIUS;Globular Cluster;7.3;9';
M81;9h55.6m;+69°04';URSA MAJOR;Spiral Galaxy;6.8;26'x14';
M82;9h55.8m;+69°41';URSA MAJOR;Irregular Galaxy;8.4;11'x5';Cigar Galaxy
M83;13h37.0m;-29°52';HYDRA;Spiral Galaxy;8;11'x10';
M84;12h25.1m;+12°53';VIRGO;Elliptical Galaxy;9.3;5'x4';
M85;12h25.4m;+18°11';COMA BERENICES;Elliptical Galaxy;9.2;7'x5';
M86;12h26.2m;+12°57';VIRGO;Elliptical Galaxy;9.2;7'x5';
M87;12h30.8m;+12°24';VIRGO;Elliptical Galaxy;8.6;7';Virgo A
M88;12h32.0m;+14°25';COMA BERENICES;Spiral Galaxy;9.5;7'x4';
M89;12h35.7m;+12°33';VIRGO;Elliptical Galaxy;9.8;4';
M90;12h36.8m;+13°10';VIRGO;Spiral Galaxy;9.5;10'x5';
M91;12h35.4m;+14°30';COMA BERENICES;Spiral Galaxy;10.2;5'x4';
M92;17h17.1m;+43°08';HERCULES;Globular Cluster;6.4;11';
M93;7h44.6m;-23°52';PUPPIS;Open Cluster;6;22';
M94;12h50.9m;+41°07';CANES VENATICI;Spiral Galaxy;8.1;11'x9';Croc's Eye
M95;10h44.0m;+11°42';LEO;Spiral Galaxy;9.7;7'x5';
M96;10h46.8m;+11°49';LEO;Spiral Galaxy;9.2;7'x5';
M97;11h14.8m;+55°01';URSA MAJOR;Planetary Nebula;11;3';Owl Nebula
M98;12h13.8m;+14°54';COMA BERENICES;Spiral Galaxy;10.1;10'x3';
M99;12h18.8m;+14°25';COMA BERENICES;Spiral Galaxy;9.8;5';
M100;12h22.9m;+15°49';COMA BERENICES;Spiral Galaxy;9.4;7'x6';The Mirror
M101;14h03.2m;+54°21';URSA MAJOR;Spiral Galaxy;7.7;27'x26';Pinwheel Galaxy
M102;15h06.5m;+55°46';Dra;Elliptical Galaxy;9.9;6'x3';Mechain's Lost Galaxy
M103;1h33.2m;+60°42';CASSIOPEIA;Open Cluster;7;6';
M104;12h40.0m;-11°37';VIRGO;Spiral Galaxy;8.3;9'x4';Sombrero Galaxy
M105;10h47.8m;+12°35';LEO;Elliptical Galaxy;9.3;5'x4';
M106;12h19.0m;+47°18';CANES VENATICI ;Spiral Galaxy;8.3;18'x8';
M107;16h32.5m;-13°03';OPHIUCHUS;Globular Cluster;8.1;10';
M108;11h11.5m;+55°40';URSA MAJOR;Spiral Galaxy;10;8'x2';
M109;11h57.6m;+53°23';URSA MAJOR;Spiral Galaxy;9.8;8'x5';
M110;0h40.4m;+41°41';ANDROMEDA;Elliptical Galaxy;8;17'x10';
M111;2h19.0m;+57°09';PERSEUS;Open Cluster;4.5;30';West Part of Double Cluster
M112;2h22.4m;+57°07';PERSEUS;Open Cluster;4.5;30';East Part of Double Cluster
